diameter_beams;beam_count;gradient_force_y;gradient_force_z;scattering_force_x
10;73;-36.53544666075498;-77.65647423290329;110.20162456866805
20;309;-41.03556158842775;-85.29712424896789;142.99945352451746
30;697;-42.09670150663881;-77.65647423290329;147.5963171197767
40;1249;-42.40232539259963;-85.74613375574624;148.9305354954563
50;1949;-42.619505242751615;-85.81150733226004;148.93602141859597
60;2809;-42.62193606945006;-85.68236063081447;149.15507046323836
70;3841;-42.65074903385445;-85.71653352708418;149.88702067516536
80;5017;-42.633058342931385;-85.75075645714129;150.09458013720882
90;6353;-42.712419244266044;-85.72246462701021;150.216217977587
100;7835;-42.742666012614364;-85.71935453767804;150.09195514335568
